original_index,Country,Avg Temp over Time r-value,Avg Temp over Time p-value,Wine Production & Avg Temp r-value,Wine Production & Avg Temp p-value,Wine Production over Time r-value,Wine Production over Time p-value
0,Albania,0.6340098213730767,3.458857326814473e-07,0.0038011353463547753,0.9784494438794745,0.4060398547894135,0.002555848524722964
1,Algeria,0.765803882336249,2.3857173852354687e-11,-0.516540448387723,7.510251506147588e-05,-0.8255374380223024,2.8471409241266856e-14
2,Argentina,0.4223802633284996,0.0016298343252483564,-0.3658131480476807,0.007065939148731885,-0.6549264564254775,1.0354248673032711e-07
3,Armenia,0.5881669419016592,0.003988474304332983,-0.6999614178415501,0.0002873322451432751,-0.6100416192705334,0.0025724362473599485
4,Australia,0.5169500860133344,7.3952577568461e-05,0.4792785749242766,0.00028246224920321474,0.9062282209164312,1.0454953006297274e-20
5,Austria,0.6660972756932906,5.228882261564754e-08,0.22119487140966343,0.11144970622516108,0.17209694858165472,0.21786405483848545
6,Azerbaijan,0.6380469508546127,0.001398304843060483,-0.5930772664868436,0.0036241796769210235,-0.4969915049384366,0.018617082750790846
7,Belarus,0.5233532180183884,0.012436284699413484,0.23438134002955918,0.2937691023257144,0.7963336471141229,9.27227745115822e-06
8,Belgium,-0.4075093439035705,0.14809964707502546,0.11356821941200307,0.6990745804170355,0.6212198381102565,0.017728860218551946
9,Bolivia,0.21801567434655356,0.11682003074150818,0.07539263101640753,0.5915830516057873,0.8249139262575649,3.093464483726888e-14
10,Brazil,0.751851196602975,8.672368852592829e-11,0.41587240466901876,0.001954893465556495,0.7155814690311256,1.7269717617828555e-09
11,Bulgaria,0.5631762917632939,1.132950124335018e-05,-0.6088977188069127,1.3133750402065467e-06,-0.7619718143172092,3.430419929835916e-11
12,Canada,0.646235078728177,1.7283122192435896e-07,0.403027146904971,0.002770223186736325,0.47955971086082283,0.0002798094161049967
13,Chile,0.49385423647677884,0.00017130241550670887,0.24020526886433316,0.08318681795820423,0.5699288870303579,8.40922827938039e-06
14,China,0.6604537518182619,1.1690958721150172e-05,0.6726362542014868,6.998108803006576e-06,0.9855793546962985,8.049784133029171e-28
15,Colombia,-0.12429453276772812,0.8757054672322719,0.1663355212033294,0.8336644787966705,0.8575008616901556,0.1424991383098444
16,Croatia,0.40274281073897944,0.06311774980233413,-0.33864036769365896,0.12316877277816513,-0.8729483755130523,1.1590234377298681e-07
17,Cuba,0.1627792160538743,0.5621599619439779,-0.5881117144166339,0.021113399553518833,-0.4581068398841826,0.0859310963640157
18,Cyprus,0.5814211487043224,4.985925746759713e-06,-0.47569114937740425,0.00031837979129500764,-0.19143280827658116,0.16970338388949582
19,Egypt,0.6347680664544826,3.3160951440014067e-07,0.42386651596330843,0.0015627400396282102,0.4281236263745691,0.0013840005393616008
20,Estonia,0.5609889477620325,0.14799533493602102,,,,
21,Ethiopia,0.8627754655138338,4.855374993982219e-07,0.10112213159811695,0.6627312641922505,0.03199877805233011,0.8904834830671452
22,France,0.7142677770317425,1.9080043732534377e-09,-0.4698798056455006,0.00038543986265721927,-0.5858132657793089,4.061489350795371e-06
23,Georgia,0.6114170067318832,0.0024998372806497807,-0.5364797740325626,0.0100530140964762,-0.29004077742629397,0.19041224352077255
24,Germany,0.5820105569478083,4.851426391057053e-06,0.489154258175457,0.00020177383146686108,0.42362557474763823,0.0015734465042594949
25,Greece,0.5821304049614116,4.824493368097676e-06,-0.5004394954160818,0.00013564152148448758,-0.26023514211013743,0.05984519343814794
26,Hungary,0.6017255062685292,1.8829715609338339e-06,-0.2716714407570313,0.04908878954424446,-0.408418847530723,0.0023971023324282216
27,Israel,0.5697724887148201,8.468116695721235e-06,-0.6153430703582188,9.429037128197495e-07,-0.7171559615040948,1.531361407854442e-09
28,Italy,0.754419471085213,6.882675784781702e-11,-0.7240333434115389,8.971637624261161e-10,-0.694110012836309,8.243316452344154e-09
29,Japan,0.5400575225716697,2.9966876010692714e-05,0.5224267894165633,6.005261090658956e-05,0.8820332633833765,2.698342956495552e-18
30,Jordan,0.5321598197856725,0.07491228863436135,-0.26795273794956653,0.3997702196009064,-0.16011861324875812,0.6191209814014464
31,Kazakhstan,0.4455605728189709,0.03769320823050946,-0.10001264741803076,0.6578874612981185,-0.26825438228033915,0.2274100628207028
32,Kyrgyzstan,0.5067382244845096,0.01609435268354064,-0.4730490201716835,0.026182915453922824,-0.6790542311277563,0.0005108303218197164
33,Latvia,0.3537815123805265,0.10625485494805792,-0.04387511124901958,0.8462754863828338,-0.09261921521189621,0.6818443607764904
34,Lebanon,0.5446910317316618,2.480077955351e-05,0.3016782891298865,0.02814157018554595,0.7156455636522026,1.7185681807147156e-09
35,Libya,0.7270261237175999,0.0014182055350594972,-0.5861751310728155,0.017017654821044545,-0.9271660558825654,2.4010593401619365e-07
36,Lithuania,0.32463521704488296,0.14046568240227744,0.37777707532150095,0.0830239391947882,0.586377730227785,0.004128606333459741
37,Luxembourg,-0.36384889861396563,0.20094808578154913,0.39338267900472,0.16405950235636038,-0.6446285202157008,0.012817548435952382
38,Madagascar,0.72652722912835,7.361250117851906e-10,0.46003929788791537,0.000528699268870729,0.7183396894776024,1.39828748808814e-09
39,Malta,0.7772004257763669,7.769029508137333e-12,-0.11908038086658572,0.3957288036066953,-0.1440375831971931,0.3034876776235973
40,Mexico,0.7143060924125406,1.9024797425698735e-09,-0.17261112332500395,0.21647141069600906,0.06978780222876702,0.6195035115676638
41,Moldova,0.5720967179306047,0.005401689896764725,-0.3179199740546134,0.14934297338023597,-0.4726752533298306,0.02631793803404016
